segment_id,lat,lng
shibushi_to_shibushi_port_ent,31.475675,131.108191
shibushi_to_shibushi_port_ent,31.475659,131.108162
shibushi_eki_mae_to_shibushi,31.472624,131.097848
shibushi_eki_mae_to_shibushi,31.473991,131.096854
shibushi_eki_mae_to_shibushi,31.475084,131.099919
shibushi_eki_ue_to_shibushi_eki_mae,31.473735,131.096055
shibushi_eki_ue_to_shibushi_eki_mae,31.473988,131.096841
shibushi_eki_ue_to_shibushi_eki_mae,31.472624,131.097847
shibushi_eki_ue_to_shibushi_eki_mae,31.472624,131.097848
takasu_to_okamura,31.349269,130.795443
takasu_to_okamura,31.346945,130.794320
takasu_to_okamura,31.346858,130.794320
takasu_to_okamura,31.346771,130.794340
takasu_to_okamura,31.346687,130.794379
takasu_to_okamura,31.346613,130.794437
takasu_to_okamura,31.345560,130.796391
takasu_to_okamura,31.342906,130.799229
takasu_to_okamura,31.342853,130.799313
takasu_to_okamura,31.342819,130.799409
takasu_to_okamura,31.342830,130.799484
takasu_to_okamura,31.343287,130.799333
takasu_to_okamura,31.344058,130.799200
takasu_to_okamura,31.344496,130.799297
takasu_to_okamura,31.344957,130.799617
takasu_to_okamura,31.346387,130.802272
takasu_to_okamura,31.346571,130.802501
takasu_to_okamura,31.349610,130.804291
takasu_to_okamura,31.349964,130.804350
takasu_to_okamura,31.350320,130.804300
takasu_to_okamura,31.350724,130.804076
takasu_to_okamura,31.351843,130.802717
takasu_to_okamura,31.352157,130.802515
takasu_to_okamura,31.352509,130.802440
takasu_to_okamura,31.354475,130.802604
takasu_to_okamura,31.354838,130.803324
takasu_to_okamura,31.355964,130.804683
takasu_to_okamura,31.357907,130.806380
takasu_to_okamura,31.357968,130.806458
takasu_to_okamura,31.358582,130.808091
takasu_to_okamura,31.358479,130.811238
takasu_to_okamura,31.358775,130.813206
takasu_to_okamura,31.359774,130.814691
takasu_to_okamura,31.359880,130.814980
takasu_to_okamura,31.360104,130.817273
takasu_to_okamura,31.360336,130.817841
takasu_to_okamura,31.362320,130.822540
takasu_to_okamura,31.362845,130.823390
